,nm_produto,ds_classe2,vl_total
99,Coxao Mole Pedaco Kg,Acougue,1761.78
100,Coxao Mole Porcionado Kg,Acougue,77038.68
101,Coxinha da Asa Big Fgo Resf.Kg,Acougue,2148.48
102,Coxinha da Asa Big Fgo Temp.Resf.Kg,Acougue,1484.86
103,Coxinha da Asa Copacol Kg,Acougue,8749.81
104,Coxinha da Asa Fgo Copacol Temp.Resf.1kg,Acougue,161.33
105,Coxinha da Asa Resf.Copacol Bdja 1kg,Acougue,285.09
106,Coxinha da Asa Resf.Maringa Kg,Acougue,3132.78
107,Coxinha da Asa Seara Resf.Kg,Acougue,2154.59
108,Cubos California DeliCia A/S Kg,Acougue,1101.18
109,Cubos de Acem DeliCia A/S Kg,Acougue,162.77
110,Cubos de Paleta DeliCia A/S Kg,Acougue,563.61
111,Cupim Bovino Kg,Acougue,55.89
112,Cupim Friboi Reserva Vacuo Resf.Kg,Acougue,119.02
113,Dianteiro Bovino Kg,Acougue,27371.52
114,Drumette Big Fgo Resf.Bdj Kg,Acougue,948.90
115,Duckbeff de Patinho DeliCia A/S Kg,Acougue,1501.00
116,Escabeche DeliCia A/S Kg,Acougue,109.31
117,Figado Bovino Kg,Acougue,2186.88
118,Figado de Frango Copacol Resf.Kg,Acougue,621.01
119,File de Peito Big Fgo Resf.Kg,Acougue,2699.81
120,File de Peito de Frango Cong.Kg,Acougue,21624.75
121,File de Sassami Big Fgo Resf.Bdj Kg,Acougue,1592.08
122,File de Sassami Big Fgo Resf.Kg,Acougue,752.16
123,File Frimesa Suino Cong.Kg,Acougue,288.96
124,File Mignon Alegra Corte Facil Cong.Kg,Acougue,111.19
125,File Mignon Alegra Suino Temp.Resf.Kg,Acougue,981.17
126,File Mignon C/Cordao Kg,Acougue,6.37
127,File Mignon Friboi Reserva Vac.Kg,Acougue,660.11
128,File Mignon Prieto Suino Temp.Resf.Kg,Acougue,29.16
129,File Mignon Suino Alegra Cong.Kg,Acougue,342.69
130,File Mignon Suino Pamplona Temp.Resf.Kg,Acougue,128.79
131,File Peito Fgo Big Fgo Resf.Bdj Kg,Acougue,3141.08
132,File Peito Fgo Copacol Temp.Resf.1kg,Acougue,398.31
133,File Peito Frango Big Fgo Temp.Resf.Kg,Acougue,412.63
134,File Peito Frango Copacol Resf.Kg,Acougue,10387.78
135,File Peito Frango Maringa Resf.Kg,Acougue,3197.28
136,File Peito Frango Seara Resf.Kg,Acougue,2389.21
137,Flanbeff de Patinho DeliCia A/S Kg,Acougue,1182.43
138,Flatbeef Coxao Mole DeliCia A/S Kg,Acougue,472.21
139,Fraldinha Friboi Resf.Kg,Acougue,4274.22
140,Fraldinha Grill do Chef Resf.Vacuo Kg,Acougue,1000.72
141,Fraldinha Swift Maturatta Resf.Kg,Acougue,92.76
142,Frango A Passarinho Big Fgo Resf.Bdj Kg,Acougue,604.57
143,Frango A Passarinho Big Fgo Resf.Kg,Acougue,525.78
144,Frango A Passarinho Big Fgo Temp.Resf.Kg,Acougue,1032.16
145,Frango A Passarinho Copacol Resf.Kg,Acougue,1095.38
146,Frango A Passarinho Copacol Temp.Resf.1k,Acougue,111.21
147,Frango Big Resf.Kg,Acougue,6921.55
148,Frango Caipira Ivaipora Cortado Kg,Acougue,1667.21
149,Frango Caipira Ivaipora Inteiro Kg,Acougue,26.59
150,Frango Cong.Kg,Acougue,12669.26
151,Frango Copacol Cong.Kg,Acougue,235.03
152,Frango Copacol Resf.Kg,Acougue,4787.46
153,Frango Resfriado Maringa Kg,Acougue,7542.61
154,Frango Sadia Assa Facil Temp.Cong.Kg,Acougue,470.47
155,Frango Sadia Cong.Kg,Acougue,35.95
156,Frango Seara Assa Facil Temp.Cong.Kg,Acougue,318.61
157,Galinha Big Frango Kg Cong.,Acougue,239.62
158,Galinha Fragnani Cong.Kg,Acougue,62.82
159,Galo do Sitio Cong.Kg,Acougue,280.61
160,Lingua Bovina Kg,Acougue,389.93
161,Linguica Alegra Pernil Cong.600g,Acougue,244.75
162,Linguica Alegra Pernil Resf.Kg,Acougue,1007.68
163,Linguica Alegra Suina 600g C/Bacon,Acougue,588.64
164,Linguica Alegra Suina 600g C/Cheiro Verd,Acougue,560.00
165,Linguica Alegra Suina 600g C/Pimenta,Acougue,268.32
166,Linguica Alegra Suina 600g C/Queijo,Acougue,818.64
167,Linguica Alegra Suina Cong.600g,Acougue,284.80
168,Linguica Alegra Suina Resf.Kg,Acougue,11112.92
169,Linguica Alegra Toscana Resf.Kg,Acougue,530.31
