,nm_produto,ds_classe2,vl_total
100,Coxinha da Asa Resf.Maringa Kg,Acougue,1418.12
101,Coxinha da Asa Seara Resf.Kg,Acougue,483.12
102,Cubos California DeliCia A/S Kg,Acougue,572.06
103,Cubos de Acem DeliCia A/S Kg,Acougue,125.20
104,Cubos de Paleta DeliCia A/S Kg,Acougue,154.45
105,Dianteiro Bovino Kg,Acougue,8734.03
106,Drumette Big Fgo Resf.Bdj Kg,Acougue,523.41
107,Duckbeff de Patinho DeliCia A/S Kg,Acougue,484.81
108,Escabeche DeliCia A/S Kg,Acougue,67.62
109,Figado Bovino Kg,Acougue,417.75
110,Figado de Frango Copacol Resf.Kg,Acougue,124.19
111,File de Peito Big Fgo Resf.Kg,Acougue,918.25
112,File de Peito de Frango Cong.Kg,Acougue,4949.16
113,File de Sassami Big Fgo Resf.Bdj Kg,Acougue,552.08
114,File de Sassami Big Fgo Resf.Kg,Acougue,248.79
115,File Frimesa Suino Cong.Kg,Acougue,62.80
116,File Mignon Alegra Corte Facil Cong.Kg,Acougue,74.58
117,File Mignon Alegra Suino Temp.Resf.Kg,Acougue,237.89
118,File Mignon C/Cordao Kg,Acougue,63.36
119,File Mignon Friboi Reserva Vac.Kg,Acougue,274.07
120,File Mignon Prieto Suino Temp.Resf.Kg,Acougue,27.01
121,File Mignon Suino Alegra Cong.Kg,Acougue,296.25
122,File Mignon Suino Pamplona Temp.Resf.Kg,Acougue,55.82
123,File Peito Fgo Big Fgo Resf.Bdj Kg,Acougue,1010.42
124,File Peito Fgo Copacol Temp.Resf.1kg,Acougue,12.07
125,File Peito Frango Big Fgo Temp.Resf.Kg,Acougue,214.28
126,File Peito Frango Copacol Resf.Kg,Acougue,2771.43
127,File Peito Frango Maringa Resf.Kg,Acougue,1968.21
128,File Peito Frango Seara Resf.Kg,Acougue,413.07
129,Flanbeff de Patinho DeliCia A/S Kg,Acougue,302.33
130,Flatbeef Coxao Mole DeliCia A/S Kg,Acougue,54.70
131,Fraldinha Friboi Resf.Kg,Acougue,1457.69
132,Fraldinha Grill do Chef Resf.Vacuo Kg,Acougue,263.50
133,Frango A Passarinho Big Fgo Resf.Bdj Kg,Acougue,194.63
134,Frango A Passarinho Big Fgo Resf.Kg,Acougue,129.41
135,Frango A Passarinho Big Fgo Temp.Resf.Kg,Acougue,303.23
136,Frango A Passarinho Copacol Resf.Kg,Acougue,308.47
137,Frango A Passarinho Copacol Temp.Resf.1k,Acougue,70.77
138,Frango Big Resf.Kg,Acougue,1211.24
139,Frango Caipira Ivaipora Cortado Kg,Acougue,826.27
140,Frango Cong.Kg,Acougue,3622.13
141,Frango Copacol Cong.Kg,Acougue,139.98
142,Frango Copacol Resf.Kg,Acougue,1134.99
143,Frango Resfriado Maringa Kg,Acougue,2795.90
144,Frango Sadia Assa Facil Temp.Cong.Kg,Acougue,183.96
145,Frango Seara Assa Facil Temp.Cong.Kg,Acougue,134.71
146,Galinha Big Frango Kg Cong.,Acougue,199.18
147,Galinha Fragnani Cong.Kg,Acougue,13.85
148,Galo do Sitio Cong.Kg,Acougue,107.56
149,Lingua Bovina Kg,Acougue,132.31
150,Linguica Alegra Pernil Cong.600g,Acougue,19.58
151,Linguica Alegra Pernil Resf.Kg,Acougue,405.83
152,Linguica Alegra Suina 600g C/Bacon,Acougue,368.24
153,Linguica Alegra Suina 600g C/Cheiro Verd,Acougue,93.44
154,Linguica Alegra Suina 600g C/Pimenta,Acougue,67.68
155,Linguica Alegra Suina 600g C/Queijo,Acougue,313.84
156,Linguica Alegra Suina Cong.600g,Acougue,56.96
157,Linguica Alegra Suina Resf.Kg,Acougue,2816.60
158,Linguica Alegra Toscana Resf.Kg,Acougue,472.12
159,Linguica Aurora Pernil Resf.Kg,Acougue,3382.05
160,Linguica Bizinelli Fina Especial Kg,Acougue,1165.48
161,Linguica Bizinelli Toscana Kg,Acougue,990.39
162,Linguica Copacol Churrasco Cong.1kg,Acougue,67.85
163,Linguica Copacol de Frango Cong.1kg,Acougue,603.05
164,Linguica Copacol de Frango Resf.1kg,Acougue,3544.04
165,Linguica Fattoria Cheiro Verde Resf.Kg,Acougue,1183.64
166,Linguica Fattoria Toscana Resf.Kg,Acougue,155.25
167,Linguica Frimesa Calab.Frescal Cong.1kg,Acougue,170.46
168,Linguica Frimesa Frango Fininha Cong.1kg,Acougue,73.55
169,Linguica Frimesa Pernil Suina Resf.1kg,Acougue,175.45
170,Linguica Frimesa Pernil Suina Resf.Kg,Acougue,229.16
171,Linguica Frimesa Pernil Suino Cong.1kg,Acougue,259.35
172,Linguica Frimesa Toscana Cong.1kg,Acougue,201.24
173,Linguica Frimesa Toscana Kg Cong.,Acougue,436.04
174,Linguica Frimesa Toscana Resf.Kg,Acougue,4243.56
175,Linguica Frimesa Toscana Resf.Pct 1kg,Acougue,235.36
176,Linguica Lar Frango Fininha Resf.1kg,Acougue,321.72
177,Linguica Mista Suino Sabor Kg,Acougue,1902.39
178,Linguica Pamplona Pernil Erva Resf.600g,Acougue,9.39
179,Linguica Pamplona Pernil Resf.600g,Acougue,9.39
180,Linguica Perdigao Brasa Apiment.Cong.1kg,Acougue,13.28
181,Linguica Perdigao Carne Suina Resf.700g,Acougue,207.34
182,Linguica Perdigao Pernil Na Brasacong.1g,Acougue,287.20
183,Linguica Perdigao Toscana 600g Alho/Erva,Acougue,50.85
184,Linguica Perdigao Toscana 600g C/Queijo,Acougue,46.38
185,Linguica Perdigao Toscana 600g Fgo/Bacon,Acougue,25.89
186,Linguica Perdigao Toscana 600g Pimen.Biq,Acougue,13.91
187,Linguica Perdigao Toscana Brasa Cong.1kg,Acougue,150.29
188,Linguica Sadia Toscana 950g,Acougue,170.08
189,Linguica Seara de Frango Cong.700g,Acougue,167.70
190,Linguica Seara Toscana Cong.700g,Acougue,32.94
191,Linguica Tonini Pernil Resf.Kg,Acougue,163.13
192,Linguica Tonini Resf.Ervas Finas Kg,Acougue,429.01
193,Linguica Tonini Tc Kg,Acougue,4101.87
194,Lombo Alegra Corte Facil Cong.Kg,Acougue,64.33
195,Lombo Prieto Suino Temp.Resf.Kg,Acougue,23.92
196,Lombo Suino Alegra Cong.Kg,Acougue,135.75
197,Lombo Suino Alegra Temp.Resf.Kg,Acougue,170.95
198,Lombo Suino Fattoria Resf.Kg,Acougue,31.88
199,Lombo Suino Frimesa Gong.Kg,Acougue,122.13
200,Lombo Suino Pamplona Temp.Resf.Kg,Acougue,73.18
201,Medalhao do Alcatra Friboi Reserva Kg,Acougue,72.36
202,Meio da Asa Big Fgo Resf.Bdj  Kg,Acougue,414.50
203,Meio da Asa Big Fgo Temp.Resf.Kg,Acougue,414.65
204,Meio da Asa Copacol Kg,Acougue,929.03
205,Meio da Asa Frango Copacol Temp.Resf.1kg,Acougue,220.80
206,Meio da Asa Seara Resf.Kg,Acougue,85.29
207,Miolo Alcatra DeliCia A/S Pedaco Kg,Acougue,91.53
208,Miolo Alcatra Friboi Reserva Vac.Kg,Acougue,79.43
209,Miolo Alcatra Swift Maturatta Resf.Kg,Acougue,65.88
210,Mocoto Bovino Kg,Acougue,114.55
211,Moela de Frango Big Fgo Resf.Kg,Acougue,310.66
212,Moela de Frango Copacol Resf.Kg,Acougue,477.01
213,Musculo DeliCia A/S Resf.Pedaco Kg,Acougue,275.43
214,Musculo Mole DeliCia A/S Especial Kg,Acougue,21.95
215,Musculo Picado DeliCia A/S Kg,Acougue,115.92
216,Paleta Bovina Sem Osso Kg,Acougue,5.31
217,Paleta S/O DeliCia A/S Pedaco Kg,Acougue,1164.97
218,Paleta Suina C/Osso C/Pele Resf.Kg,Acougue,278.14
219,Paleta Suina Fattoria C/Osso C/P Resf.Kg,Acougue,365.10
220,Paleta Suino Tonini C/Osso C/P Resf.Kg,Acougue,73.34
221,Patinho DeliCia A/S Pedaco Resf.Kg,Acougue,188.19
222,Patinho Moido DeliCia A/S Kg,Acougue,1241.70
223,Patinho Peca Inteira Kg,Acougue,125.27
224,Patinho Pedaco Kg,Acougue,2939.14
