,nm_produto,ds_classe2,vl_total
264,Agua Min.Maceratti 1.5l Pet,Bebidas Frias,9.50
265,Agua Min.Maceratti 300ml Copo,Bebidas Frias,4.77
266,Agua Min.Maceratti 502ml,Bebidas Frias,5.06
267,Agua Min.Maceratti 5l,Bebidas Frias,11.42
268,Agua Min.Maceratti C/Gas 2l Pet,Bebidas Frias,16.04
269,Agua Min.Maceratti C/Gas 505ml,Bebidas Frias,7.55
270,"Agua Min.Nestle Pureza Vital 1,5l Pet",Bebidas Frias,5.14
271,Agua Min.Nestle Pureza Vital 510ml Pet,Bebidas Frias,18.99
272,Agua Min.O Fino S/Gas 350ml Pet,Bebidas Frias,7.50
273,Agua Min.O.Fino 1.5l,Bebidas Frias,82.32
274,Agua Min.O.Fino 10l,Bebidas Frias,155.68
275,Agua Min.O.Fino 500ml Jr,Bebidas Frias,17.88
276,Agua Min.O.Fino 6l,Bebidas Frias,77.99
277,"Agua Min.O.Fino C/Gas 1,5l Pet",Bebidas Frias,38.40
278,Agua Min.O.Fino C/Gas 350ml Pet,Bebidas Frias,13.50
279,Agua Min.O.Fino C/Gas 500ml Pet,Bebidas Frias,34.27
280,Agua Min.Perrier C/Gas 330ml,Bebidas Frias,11.54
281,"Agua Min.Proteg 1,5 Pet",Bebidas Frias,35.94
282,Agua Min.Proteg 502ml Pet,Bebidas Frias,30.85
283,Agua Min.Proteg 5l Pet,Bebidas Frias,81.57
284,Agua Min.Proteg C/Gas 2l Pet,Bebidas Frias,70.72
285,Agua Min.Proteg C/Gas 505ml Pet,Bebidas Frias,17.12
286,Agua Min.Sao Lourenco C/Gas 1.260ml Pet,Bebidas Frias,7.56
287,"Agua Min.Schinc.C/Gas 1,5l",Bebidas Frias,15.54
288,Agua Min.Schinc.S/Gas 500ml Pet,Bebidas Frias,12.90
289,Agua Min.Sferrie 1.5l C/Gas Pet,Bebidas Frias,43.23
290,Agua Min.Sferrie 1.5l Pet,Bebidas Frias,59.02
291,Agua Min.Sferrie 510ml C/Gas Pet,Bebidas Frias,51.81
292,Agua Min.Sferrie 510ml Pet,Bebidas Frias,40.45
293,Agua Min.Sferrie 5l,Bebidas Frias,9.12
294,Agua Min.Sferrie Premium C/Gas 410ml Pet,Bebidas Frias,18.80
295,Agua Min.Sferrie Premium S/Gas 410ml Pet,Bebidas Frias,5.64
296,Beb.Ades Soja Abac.1l Tp,Bebidas Frias,43.63
297,Beb.Ades Soja Abac.200ml Tp,Bebidas Frias,6.27
298,Beb.Ades Soja Lja 1l Tp,Bebidas Frias,44.51
299,Beb.Ades Soja Lja 200ml Tp,Bebidas Frias,6.27
300,Beb.Ades Soja Maca 1l Tp,Bebidas Frias,63.87
301,Beb.Ades Soja Maca 200ml Tp,Bebidas Frias,37.62
302,Beb.Ades Soja Mrgo 1l Tp,Bebidas Frias,48.86
303,Beb.Ades Soja Mrgo 200ml Tp,Bebidas Frias,22.99
304,Beb.Ades Soja Pess.1l Tp,Bebidas Frias,34.13
305,Beb.Ades Soja Uva 1l Tp,Bebidas Frias,38.52
306,Beb.Ades Soja Uva 200ml Tp,Bebidas Frias,12.54
307,Beb.Aquarius Fresh Limao 510ml Pet,Bebidas Frias,13.05
308,Beb.Cini Cristal Limao 600ml Pet,Bebidas Frias,39.36
309,Beb.Energ.Burn 1l Pet,Bebidas Frias,23.07
310,Beb.Energ.Flying Horse 1l,Bebidas Frias,7.34
311,Beb.Energ.Furioso 2l,Bebidas Frias,391.03
312,Beb.Energ.Fusion 1l Pet,Bebidas Frias,98.36
313,Beb.Energ.Fusion Cha Lim./Hort.310ml La,Bebidas Frias,19.87
314,Beb.Energ.Fusion Lja 310ml La,Bebidas Frias,19.95
315,Beb.Energ.Insano 1l,Bebidas Frias,129.60
316,Beb.Energ.Monster 500ml La Lo-Carb,Bebidas Frias,6.69
317,Beb.Energ.Monster Assault 473ml La,Bebidas Frias,13.98
318,Beb.Energ.Monster Energy 473ml La,Bebidas Frias,157.17
319,Beb.Energ.Monster Khaos 473ml La,Bebidas Frias,55.02
320,Beb.Energ.Monster Lo-Carb 473ml La,Bebidas Frias,96.36
321,Beb.Energ.Monster Ultra 473ml La,Bebidas Frias,129.81
322,Beb.Energ.Red Bull 250ml La,Bebidas Frias,431.30
323,Beb.Energ.Red Bull 355ml La,Bebidas Frias,36.18
324,Beb.Energ.Red Bull 473ml La,Bebidas Frias,23.98
325,Beb.Energ.Red Bull Blue 250ml,Bebidas Frias,20.76
326,Beb.Energ.Red Bull Red 250ml La,Bebidas Frias,21.37
327,Beb.Energ.Red Bull S.Free 250ml La,Bebidas Frias,61.83
328,Beb.Energ.Red Bull Summer/Tropical 250ml,Bebidas Frias,14.48
329,"Beb.H20h Citrus 1,5l Pet",Bebidas Frias,59.90
330,Beb.H20h Citrus 500ml Pet,Bebidas Frias,24.43
331,"Beb.H20h Limao 1,5l Pet",Bebidas Frias,41.93
332,Beb.H20h Limao 500ml Pet,Bebidas Frias,13.96
333,"Beb.H2oh Laranccini 1,5l Pet",Bebidas Frias,5.99
334,Beb.H2oh Laranccini 500ml Pet,Bebidas Frias,24.41
335,Beb.H2oh Limao 310ml La,Bebidas Frias,19.92
336,Beb.H2oh Limoneto 1.5l Pet,Bebidas Frias,29.95
337,Beb.H2oh Limoneto 500ml,Bebidas Frias,31.41
338,Beb.Hidrotonico I9 Lim.500ml Pet,Bebidas Frias,103.84
339,Beb.Hidrotonico I9 Mrcja 500ml Pet,Bebidas Frias,54.60
340,Beb.Hidrotonico I9 Tang.500ml Pet,Bebidas Frias,51.51
341,Beb.Hidrotonico I9 Uva Vde 500ml Pet,Bebidas Frias,112.92
342,Beb.Isot.Gatorade Ftas Citr.500ml Pet,Bebidas Frias,19.11
343,Beb.Isot.Gatorade Lim.1l,Bebidas Frias,13.98
344,Beb.Isot.Gatorade Lim.500ml Pet,Bebidas Frias,52.29
345,Beb.Isot.Gatorade Lja 500ml Pet,Bebidas Frias,14.67
346,Beb.Isot.Gatorade Mrcja 500ml Pet,Bebidas Frias,19.41
347,Beb.Isot.Gatorade Mrgo/Mrcja 500ml Pet,Bebidas Frias,28.44
348,Beb.Isot.Gatorade Tang.500ml Pet,Bebidas Frias,29.04
349,Beb.Isot.Gatorade Tangerina 1l,Bebidas Frias,29.49
350,Beb.Isot.Gatorade Uva 500ml Pet,Bebidas Frias,47.50
351,Beb.Isot.Powerade Lim.500ml Pet,Bebidas Frias,9.38
352,Beb.Isot.Powerade Mix Ftas 500ml Pet,Bebidas Frias,9.38
353,Beb.Purity Soja Abac.1l Tp,Bebidas Frias,40.92
354,Beb.Purity Soja Lja 1l Tp,Bebidas Frias,23.87
355,Beb.Purity Soja Maca 1l Tp,Bebidas Frias,30.69
356,Beb.Purity Soja Uva 1l Tp,Bebidas Frias,10.23
357,Beb.Sufresh Soja Lja 1l,Bebidas Frias,33.09
358,Beb.Sufresh Soja Maca 1l Tp,Bebidas Frias,86.91
359,Beb.Sufresh Soja Maca 200ml Tp,Bebidas Frias,19.11
360,Beb.Sufresh Soja Mrgo 1l Tp,Bebidas Frias,45.45
361,Beb.Sufresh Soja Uva 1l Tp,Bebidas Frias,33.69
362,Beb.Sufresh Soja Uva 200ml Tp,Bebidas Frias,3.81
363,Cerv.1500 Puro Malte 300ml Ow,Bebidas Frias,22.93
364,Cerv.1500 Puro Malte 350ml La,Bebidas Frias,402.80
365,Cerv.Ale Darguner Pilsner 330ml La,Bebidas Frias,11.52
366,Cerv.Ale.Darguner Pilsner 500ml La,Bebidas Frias,9.98
367,Cerv.Ale.Franziskaner Dunkel 500ml Ow,Bebidas Frias,17.69
368,Cerv.Ale.Franziskaner Hell 500ml Ow,Bebidas Frias,17.69
369,Cerv.Ale.Franziskaner Klar 500ml Ow,Bebidas Frias,35.96
370,Cerv.Antarc.Original 300ml Ow,Bebidas Frias,186.05
371,Cerv.Antarc.Original 600ml Ow,Bebidas Frias,98.23
372,Cerv.Antarc.Pilsen 269ml La,Bebidas Frias,1820.68
373,Cerv.Antarc.Pilsen 350ml La,Bebidas Frias,57.27
374,Cerv.Antarc.Subzero 350ml La,Bebidas Frias,1048.60
375,Cerv.Antarc.Subzero 473ml La,Bebidas Frias,22.42
376,Cerv.Baden Baden  Witbier 600ml Ow,Bebidas Frias,14.08
377,Cerv.Baden Baden Red Ale 600ml Ow,Bebidas Frias,14.08
378,Cerv.Bavaria Pilsen 269ml La,Bebidas Frias,119.78
379,Cerv.Bavaria Pilsen 350ml La,Bebidas Frias,1476.23
380,Cerv.Bavaria Pilsen 473ml,Bebidas Frias,324.45
381,Cerv.Bavaria Zero Alcool 350ml La,Bebidas Frias,44.02
382,Cerv.Bier Hoff Red Ale 500ml Gf,Bebidas Frias,27.60
383,Cerv.Black Princess Escura 600ml Ow,Bebidas Frias,19.98
384,Cerv.Bohemia 350ml La,Bebidas Frias,744.37
385,Cerv.Bohemia 355ml Ln,Bebidas Frias,177.66
386,Cerv.Bohemia 838 Pale Ale 300ml Ow,Bebidas Frias,5.99
387,Cerv.Bohemia Aura Lager 300ml Ow,Bebidas Frias,6.49
388,Cerv.Brahma Chopp 300ml Gf-Rt,Bebidas Frias,593.99
389,Cerv.Brahma Chopp 300ml Ow,Bebidas Frias,26.69
390,Cerv.Brahma Chopp 350ml La,Bebidas Frias,2648.08
391,Cerv.Brahma Chopp 355ml Ln,Bebidas Frias,202.31
392,Cerv.Brahma Chopp Zero 300ml Gf-Rt,Bebidas Frias,154.55
393,Cerv.Brahma Chopp Zero Alcool 350ml La,Bebidas Frias,556.82
394,Cerv.Brahma Chopp Zero Alcool 355ml Ln,Bebidas Frias,226.49
395,Cerv.Brahma Extra Lager 350ml La,Bebidas Frias,123.75
396,Cerv.Brahma Extra Lager 355ml Ln,Bebidas Frias,310.61
397,Cerv.Brahma Extra Lager 600ml Ow,Bebidas Frias,12.14
398,Cerv.Brahma Extra Red Lager 355ml Ln,Bebidas Frias,174.50
399,Cerv.Brahma Extra Weiss 355ml Ln,Bebidas Frias,27.92
400,Cerv.Brahma Malzbier 350ml La,Bebidas Frias,192.12
401,Cerv.Brahma Malzbier 355ml Ln,Bebidas Frias,92.25
402,Cerv.Budweiser 343ml Ln,Bebidas Frias,637.48
403,Cerv.Budweiser 350ml La,Bebidas Frias,476.19
404,Cerv.Budweiser 600ml Ow,Bebidas Frias,593.59
405,Cerv.Burguesa Pilsen 300ml Ow,Bebidas Frias,152.20
406,Cerv.Burguesa Pilsen 350ml La,Bebidas Frias,879.22
407,Cerv.Caracu 350ml La,Bebidas Frias,111.83
408,Cerv.Caracu 355ml Ln,Bebidas Frias,22.14
409,Cerv.Colorado Indica 600ml,Bebidas Frias,29.88
