,nm_produto,ds_classe2,vl_total
101,File Mignon Alegra Suino Temp.Resf.Kg,Acougue,48.53
102,File Mignon Friboi Reserva Vac.Kg,Acougue,86.06
103,File Peito Fgo Big Fgo Resf.Bdj Kg,Acougue,141.81
104,File Peito Frango Big Fgo Temp.Resf.Kg,Acougue,27.36
105,File Peito Frango Copacol Resf.Kg,Acougue,1032.64
106,File Peito Frango Maringa Resf.Kg,Acougue,163.36
107,File Peito Frango Seara Resf.Kg,Acougue,164.45
108,Flanbeff de Patinho DeliCia A/S Kg,Acougue,71.44
109,Flatbeef Coxao Mole DeliCia A/S Kg,Acougue,17.66
110,Fraldinha Friboi Resf.Kg,Acougue,169.46
111,Fraldinha Grill do Chef Resf.Vacuo Kg,Acougue,81.81
112,Frango A Passarinho Big Fgo Resf.Bdj Kg,Acougue,41.23
113,Frango A Passarinho Big Fgo Resf.Kg,Acougue,60.76
114,Frango A Passarinho Big Fgo Temp.Resf.Kg,Acougue,113.67
115,Frango A Passarinho Copacol Resf.Kg,Acougue,87.60
116,Frango Big Resf.Kg,Acougue,591.34
117,Frango Caipira Ivaipora Cortado Kg,Acougue,112.55
118,Frango Cong.Kg,Acougue,1693.50
119,Frango Copacol Resf.Kg,Acougue,363.18
120,Frango Resfriado Maringa Kg,Acougue,494.59
121,Frango Sadia Assa Facil Temp.Cong.Kg,Acougue,66.40
122,Galinha Big Frango Kg Cong.,Acougue,13.86
123,Galo do Sitio Cong.Kg,Acougue,15.47
124,Lingua Bovina Kg,Acougue,70.54
125,Linguica Alegra Pernil Cong.600g,Acougue,19.58
126,Linguica Alegra Pernil Resf.Kg,Acougue,148.96
127,Linguica Alegra Suina 600g C/Bacon,Acougue,11.68
128,Linguica Alegra Suina 600g C/Cheiro Verd,Acougue,22.16
129,Linguica Alegra Suina 600g C/Pimenta,Acougue,52.40
130,Linguica Alegra Suina 600g C/Queijo,Acougue,41.92
131,Linguica Alegra Suina Cong.600g,Acougue,14.24
132,Linguica Alegra Suina Resf.Kg,Acougue,1174.50
133,Linguica Alegra Toscana Resf.Kg,Acougue,34.98
134,Linguica Aurora Pernil Resf.Kg,Acougue,745.96
135,Linguica Bizinelli Fina Especial Kg,Acougue,136.86
136,Linguica Bizinelli Toscana Kg,Acougue,164.35
137,Linguica Copacol Churrasco Cong.1kg,Acougue,40.71
138,Linguica Copacol de Frango Cong.1kg,Acougue,152.37
139,Linguica Copacol de Frango Resf.1kg,Acougue,849.25
140,Linguica Fattoria Cheiro Verde Resf.Kg,Acougue,184.40
141,Linguica Fattoria Toscana Resf.Kg,Acougue,22.51
142,Linguica Frimesa Frango Fininha Cong.1kg,Acougue,41.35
143,Linguica Frimesa Pernil Suina Resf.1kg,Acougue,15.95
144,Linguica Frimesa Pernil Suina Resf.Kg,Acougue,26.54
145,Linguica Frimesa Toscana Cong.1kg,Acougue,61.92
146,Linguica Frimesa Toscana Kg Cong.,Acougue,159.76
147,Linguica Frimesa Toscana Resf.Kg,Acougue,1279.57
148,Linguica Frimesa Toscana Resf.Pct 1kg,Acougue,58.84
149,Linguica Lar Frango Fininha Resf.1kg,Acougue,74.26
150,Linguica Mista Suino Sabor Kg,Acougue,336.58
151,Linguica Perdigao Carne Suina Resf.700g,Acougue,20.68
152,Linguica Perdigao Pernil Na Brasacong.1g,Acougue,14.98
153,Linguica Perdigao Toscana 600g Alho/Erva,Acougue,13.91
154,Linguica Perdigao Toscana Brasa Cong.1kg,Acougue,31.67
155,Linguica Seara de Frango Cong.700g,Acougue,11.98
156,Linguica Seara Toscana Cong.700g,Acougue,10.98
157,Linguica Tonini Pernil Resf.Kg,Acougue,59.14
158,Linguica Tonini Resf.Ervas Finas Kg,Acougue,151.74
159,Linguica Tonini Tc Kg,Acougue,890.14
160,Lombo Suino Alegra Temp.Resf.Kg,Acougue,51.09
161,Lombo Suino Fattoria Resf.Kg,Acougue,49.00
162,Lombo Suino Pamplona Temp.Resf.Kg,Acougue,25.18
163,Lombo Suino Resf.Kg,Acougue,9.96
164,Medalhao do Alcatra Friboi Reserva Kg,Acougue,38.79
165,Meio da Asa Big Fgo Resf.Bdj  Kg,Acougue,93.02
166,Meio da Asa Big Fgo Temp.Resf.Kg,Acougue,37.71
167,Meio da Asa Copacol Kg,Acougue,155.95
168,Meio da Asa Frango Copacol Temp.Resf.1kg,Acougue,36.80
169,Meio da Asa Seara Resf.Kg,Acougue,48.71
170,Miolo Alcatra DeliCia A/S Pedaco Kg,Acougue,80.32
171,Mocoto Bovino Kg,Acougue,41.36
172,Moela de Frango Big Fgo Resf.Kg,Acougue,89.39
173,Moela de Frango Copacol Resf.Kg,Acougue,84.04
174,Musculo DeliCia A/S Resf.Pedaco Kg,Acougue,9.29
175,Paleta Bovina Sem Osso Kg,Acougue,15.27
176,Paleta S/O DeliCia A/S Pedaco Kg,Acougue,203.64
177,Paleta Suina C/Osso C/Pele Resf.Kg,Acougue,210.23
