,nm_produto,ds_classe2,vl_total
96,Amac.Comfort Conc.P.Cuidado L1l P900ml,Limpeza,59.50
97,Amac.Baby Soft Toque Alegria 2l,Limpeza,5.29
98,Massa Maggi Lamen Gal.Caip.85g,Seca Leve,10.71
99,Massa Renata Inst.Gal.Caip.85g,Seca Leve,5.40
100,Peito Frango Copacol Resf.Kg,Acougue,102.98
101,Queijo Prato Santa Clara Fat.Kg,Fiambreria,53.53
102,Extrato Tomate Quero 350g La,Seca Salgada,13.80
103,Bisc.Ofir Polvilho Mini 80g,Seca Leve,40.01
104,Bisc.DeliCia Polvilho 80g,Seca Leve,19.03
105,Sabao Tixan Liq.Primavera 1l,Limpeza,16.82
106,Mortadela Copacol C/Toucinho Def.Kg,Fiambreria,12.74
107,Mortadela Perdigao 400g C/Toucinho,"Frios,Massas E Gordurosos",20.17
108,Maionese Liza Trad.500g,Seca Salgada,15.28
109,Salsicha Frimesa Hot Dog 420g,"Frios,Massas E Gordurosos",10.85
110,Mostarda Hemmer Amarela Premium 300gr,Seca Salgada,11.98
111,Bombom do Alcatra DeliCia A/S Kg,Acougue,17.46
112,Sobrecoxa Frango Big Fgo Temp.Resf.Kg,Acougue,10.18
113,Salg.E.Chips Stiksy 90g,Seca Leve,15.24
114,Hamburguer Perdigao Misto 56g,Congelados,45.20
115,Achoc.Nescau 3.0 760g Sache,Seca Doce,22.88
116,Leite Santa Clara Uht 1l Integral,Leite,436.15
117,Maionese Quero 200g Sache,Seca Salgada,6.47
118,Mostarda D.Aldeia Amarela 200g,Seca Salgada,7.86
119,Papel Hig.Fofinho Abs.Fd 30m L12 P11,Limpeza,61.22
120,Cafe da Manha E.Forte Vacuo 500g,Seca Pesada,76.57
121,Mostarda Hemmer Amarela 1kg,Seca Salgada,20.30
122,Ovos Gde Bco 1dz,Granjeiros,704.88
123,Marg.Doriana 500g C/Sal,"Frios,Massas E Gordurosos",36.05
124,Fermento Fermix Biologico 10g,Seca Doce,20.88
125,Refr.Po Nutrinho Uva 25g,Bebidas Frias,15.51
126,Refr.Po Nutrinho Abac.25g,Bebidas Frias,10.65
127,Refr.Po Nutrinho Lja 25g,Bebidas Frias,16.09
128,Refr.Po Nutrinho Pess.25g,Bebidas Frias,9.09
