,nm_produto,ds_classe2,vl_total
91,Cj.Shampoo 400+Condic.200 Tresemme Rec.,Perfumaria/Higiene E Beleza,65.22
92,"Suco Bebah Uva Tinto Int.1,5l Gf",Bebidas Frias,741.44
93,Sabao Em Po Omo M.Acao 3.8kg,Limpeza,738.40
94,Cotonetes Johnson C/75,Perfumaria/Higiene E Beleza,66.84
95,Pao Charlotte Leite Grande 500g,Paes E Bolos Industrializados,333.16
96,Sorv Kibon Cornetto 90ml Crocante,Congelados,16.00
97,Refrig.Coca-Cola 2l Pet,Bebidas Frias,802.40
98,Refrig.Coca-Cola 1l Pet,Bebidas Frias,207.07
99,Salg.E.Chips Cheetos Onda 57g,Seca Leve,15.69
100,Amanditas Lacta Choc.200g,Seca Leve,63.87
101,Beb.Energ.Red Bull 250ml La,Bebidas Frias,49.11
102,Beb.Energ.Red Bull Red 250ml La,Bebidas Frias,14.88
103,Pao Panco Sovadinho 250g,Paes E Bolos Industrializados,43.47
104,Bisc.Bauducco Waffer Maxi Choc.117g,Seca Leve,22.20
105,Linguica Tonini Resf.Ervas Finas Kg,Acougue,40.88
106,File de Sassami Big Fgo Resf.Bdj Kg,Acougue,67.77
107,Choc.Nestle Galak 100gr,Seca Leve,17.96
108,Iog.Vigor Mix 165g Mrgo Colorball,Laticinios,51.85
109,Massa Nissin Cup Noodles Costela 70g,Seca Leve,30.42
110,Massa Nissin Cup Noodles Cne 69g,Seca Leve,40.56
111,Sabao Em Po Brilhante 1kg,Limpeza,59.94
112,Choc.Nestle Black Alpino 100g,Seca Leve,33.12
113,Farinha Mand.Pinduca Bca 1kg,Seca Pesada,51.96
114,Leite Lider Uht 1l Integral,Leite,2076.19
115,Canjica Campo Largo Bca 500g,Seca Pesada,14.20
116,Cafe 3 Coracoes Trad.Almof.500g,Seca Pesada,129.34
117,Arroz Prato Fino Bco 5kg,Seca Pesada,236.92
118,Maionese Hellmanns 500g,Seca Salgada,628.88
119,Cafe Melitta Trad.Vacuo 500g,Seca Pesada,808.25
120,Sal Marinho Vitao 1kg,Seca Salgada,60.96
121,Torrada Bauducco Salgada 160g,Seca Leve,67.25
122,Massa Nissin Gal.Caip.85g,Seca Leve,112.33
123,Marg.Doriana 500g C/Sal,"Frios,Massas E Gordurosos",20.21
124,Torrada Bauducco Integ.160g,Seca Leve,67.25
125,Cereal Nescau 270g,Seca Doce,52.52
126,Agua Sanit.Q.Boa 2l,Limpeza,334.76
127,Papel Hig.Neve Neutro Fd 30m L.16 P.15,Limpeza,532.07
128,Desod.Rexona Rollon 50ml Powder,Perfumaria/Higiene E Beleza,26.04
129,Farinha de Trigo Famiglia Venturelli 1kg,Seca Pesada,63.21
130,Leite Condensado Piracanjuba 395g Tp,Seca Doce,1588.76
131,Achoc.Nescau 2.0 800g Sache,Seca Doce,1054.75
132,Esponja de Aco Bombril C/8 C/10%Desc.,Limpeza,92.27
133,Creme de Leite Nestle 200g Tp,Seca Doce,169.22
134,Leite Po Ninho Int.400g La,Seca Doce,75.64
135,Manteiga Tirol 200g C/Sal,"Frios,Massas E Gordurosos",137.25
136,Cr.Dental Colgate 90g T.12 C.Mint,Perfumaria/Higiene E Beleza,102.85
137,Massa Galo Smla Spgt-9 500g,Seca Leve,44.99
138,Bisc.Isabela Maizena 400g,Seca Leve,101.99
139,Oleo Veleiro Soja 900ml Pet,Seca Pesada,130.50
140,Extrato Tomate Elefante 130g La,Seca Salgada,36.67
141,Cj.6 Deterg.Ype Clear 500 Ml C/10% Desc.,Limpeza,208.75
142,"Chicle Trident Melancia 14s 25,2gr",Seca Leve,8.24
143,Limpador Proteg Perf.Lav.1lt,Limpeza,11.54
144,Batata Lar Palito Cong.2kg,Congelados,220.66
145,"Desinf.Ype Bak Leitoso Lav.L2l P1,8l",Limpeza,4.49
146,Amac.Comfort Conc.Orig.900ml Sache,Limpeza,154.70
147,Bisc.Nesfit Aveia/Mel 200g,Seca Leve,6.40
148,Vinho Chi.Concha Y Toro Merlot 750ml,Bebidas Quentes,81.70
149,Vinho Chi.Concha Y Toro Carmenere 750ml,Bebidas Quentes,107.60
150,Beb.Energ.Red Bull 355ml La,Bebidas Frias,31.96
151,Shampoo Naturre 300ml Jaborandi,Perfumaria/Higiene E Beleza,51.52
152,Condic.Neutrox 230ml N.1,Perfumaria/Higiene E Beleza,18.26
153,Vinho Chi.Concha Y Toro Cbt Svgn 750ml,Bebidas Quentes,53.80
154,Bisc.Ofir Polvilho Mini 80g,Seca Leve,76.22
155,Leite Ferm.Danone Actimel 600g L6 P5,Laticinios,20.98
156,Leite Ferm.Activia 800g Mamao/Cereais,Laticinios,61.95
157,Massa Barilla C/O Linguine 500g,Seca Leve,34.50
158,Cerv.Antarc.Original 600ml Ow,Bebidas Frias,161.65
159,Sab.Protex 90g L6p5 Macadamia,Perfumaria/Higiene E Beleza,131.62
160,Sab.Protex 90g L6p5 Bal.Saudavel,Perfumaria/Higiene E Beleza,114.74
161,Vinho Chi.Nehuen Cbt Svgn 750ml,Bebidas Quentes,41.80
162,Vinho Arg.Toro Lacrado Cbt Svgn 750ml,Bebidas Quentes,159.20
163,Papel Hig.Personal V.Neutro Fd L16 P15,Limpeza,432.25
164,Panettone Panco 500g Chocolate,Paes E Bolos Industrializados,84.58
165,"Amac.Comfort Classico L2l P1,7l",Limpeza,71.95
166,Conf.M&Ms Choc.Amend. 49g,Seca Leve,151.46
167,Colorifico Strafit 50g,Seca Salgada,10.44
168,Deterg.Ype Clear Care 500ml,Limpeza,33.16
169,Agua Sanit.Q.Boa 1l,Limpeza,109.90
170,Bisc.Isabela Tort.Due Cheese/Goiaba 160g,Seca Leve,15.75
171,Deterg.Ype Clear 500ml,Limpeza,193.41
172,Bisc.Minueto Waffer Choc.Avela 115g,Seca Leve,18.30
173,Massa Ninfa Smla Paraf.500g,Seca Leve,19.90
174,Massa Ninfa Smla Espiral 500g,Seca Leve,11.94
175,Leite Condensado Moca 395g Tp A.Facil,Seca Doce,487.89
176,Bisc.Marilan Tort.Bombom 160g,Seca Leve,5.04
177,Oleo Copacol Soja 900ml Pet,Seca Pesada,674.39
178,Limpador Mr.Musculo Perf.Lav.900ml Ofert,Limpeza,11.98
179,Inset.Sbp Multi Aero 380ml,Limpeza,97.99
180,"Choc.Nestle Kit Kat 4finger Bco 41,5g",Seca Leve,145.13
181,Refr.Po Nutrinho Mrcja 25g,Bebidas Frias,31.91
182,Refr.Po Nutrinho Sal.Ftas 25g,Bebidas Frias,11.37
183,Refr.Po Nutrinho Lja/Mamao 25g,Bebidas Frias,20.90
184,Refr.Po Trink Lja/Mrcja 30g,Bebidas Frias,11.77
185,Beb.Lactea Carolina 510g Mrgo,Laticinios,49.31
186,Lentilha Zaeli 500g,Seca Pesada,23.94
187,Sal Diana 1kg,Seca Salgada,167.89
188,Sal Diana P/Churrasco 1kg,Seca Salgada,32.00
189,Massa Nissin Spgt T-5 500g,Seca Leve,21.40
190,Massa Nissin Spgt T-3 500g,Seca Leve,51.53
