,nm_produto,ds_classe2,vl_total
99,Coxinha da Asa Big Fgo Temp.Resf.Kg,Acougue,630.98
100,Coxinha da Asa Copacol Kg,Acougue,3728.91
101,Coxinha da Asa Fgo Copacol Temp.Resf.1kg,Acougue,210.97
102,Coxinha da Asa Resf.Copacol Bdja 1kg,Acougue,122.20
103,Coxinha da Asa Resf.Maringa Kg,Acougue,1272.85
104,Coxinha da Asa Seara Resf.Kg,Acougue,760.19
105,Cubos California DeliCia A/S Kg,Acougue,702.70
106,Cubos de Acem DeliCia A/S Kg,Acougue,121.69
107,Cubos de Paleta DeliCia A/S Kg,Acougue,217.06
108,Cubos P/Sopa DeliCia A/S Kg,Acougue,10.39
109,Cupim Friboi Reserva Vacuo Resf.Kg,Acougue,111.89
110,Dianteiro Bovino Kg,Acougue,13261.19
111,Drumette Big Fgo Resf.Bdj Kg,Acougue,497.13
112,Duckbeff de Patinho DeliCia A/S Kg,Acougue,563.53
113,Escabeche DeliCia A/S Kg,Acougue,38.78
114,Figado Bovino Kg,Acougue,892.51
115,Figado de Frango Copacol Resf.Kg,Acougue,468.64
116,File de Peito Big Fgo Resf.Kg,Acougue,1286.76
117,File de Peito de Frango Cong.Kg,Acougue,13267.10
118,File de Sassami Big Fgo Resf.Bdj Kg,Acougue,972.80
119,File de Sassami Big Fgo Resf.Kg,Acougue,258.63
120,File Frimesa Suino Cong.Kg,Acougue,304.85
121,File Mignon Alegra Corte Facil Cong.Kg,Acougue,74.37
122,File Mignon Alegra Suino Temp.Resf.Kg,Acougue,450.95
123,File Mignon C/Cordao Kg,Acougue,355.48
124,File Mignon Friboi Reserva Vac.Kg,Acougue,1845.44
125,File Mignon Prieto Suino Temp.Resf.Kg,Acougue,16.45
126,File Mignon Suino Alegra Cong.Kg,Acougue,287.97
127,File Peito Fgo Big Fgo Resf.Bdj Kg,Acougue,1556.03
128,File Peito Fgo Copacol Temp.Resf.1kg,Acougue,168.98
129,File Peito Frango Big Fgo Temp.Resf.Kg,Acougue,149.64
130,File Peito Frango Copacol Resf.Kg,Acougue,5308.90
131,File Peito Frango Maringa Resf.Kg,Acougue,2429.26
132,File Peito Frango Seara Resf.Kg,Acougue,1241.23
133,Flanbeff de Patinho DeliCia A/S Kg,Acougue,439.85
134,Flatbeef Coxao Mole DeliCia A/S Kg,Acougue,138.19
135,Fraldinha Friboi Resf.Kg,Acougue,2220.04
136,Fraldinha Grill do Chef Resf.Vacuo Kg,Acougue,404.05
137,Frango A Passarinho Big Fgo Resf.Bdj Kg,Acougue,202.21
138,Frango A Passarinho Big Fgo Resf.Kg,Acougue,217.19
139,Frango A Passarinho Big Fgo Temp.Resf.Kg,Acougue,303.42
140,Frango A Passarinho Copacol Resf.Kg,Acougue,513.44
141,Frango A Passarinho Copacol Temp.Resf.1k,Acougue,20.22
142,Frango Big Resf.Kg,Acougue,2852.47
143,Frango Caipira Ivaipora Cortado Kg,Acougue,1402.06
144,Frango Cong.Kg,Acougue,4581.37
145,Frango Copacol Cong.Kg,Acougue,64.46
