,nm_produto,ds_classe2,vl_total
100,Duckbeff de Patinho DeliCia A/S Kg,Acougue,137.94
101,Figado Bovino Kg,Acougue,106.16
102,Figado de Frango Copacol Resf.Kg,Acougue,40.11
103,File de Peito Big Fgo Resf.Kg,Acougue,77.91
104,File de Peito de Frango Cong.Kg,Acougue,2030.91
105,File de Sassami Big Fgo Resf.Bdj Kg,Acougue,220.13
106,File de Sassami Big Fgo Resf.Kg,Acougue,43.44
107,File Mignon Alegra Corte Facil Cong.Kg,Acougue,16.06
108,File Mignon Alegra Suino Temp.Resf.Kg,Acougue,37.34
109,File Mignon C/Cordao Kg,Acougue,16.01
110,File Mignon Friboi Porcionado Resf.Kg,Acougue,45.49
111,File Mignon Friboi Reserva Vac.Kg,Acougue,45.68
112,File Mignon Suino Alegra Cong.Kg,Acougue,29.89
113,File Peito Fgo Big Fgo Resf.Bdj Kg,Acougue,356.33
114,File Peito Fgo Copacol Temp.Resf.1kg,Acougue,24.14
115,File Peito Frango Big Fgo Temp.Resf.Kg,Acougue,34.19
116,File Peito Frango Copacol Resf.Kg,Acougue,1103.61
117,File Peito Frango Maringa Resf.Kg,Acougue,587.21
118,File Peito Frango Seara Resf.Kg,Acougue,133.48
119,Flanbeff de Patinho DeliCia A/S Kg,Acougue,90.31
120,Flatbeef Coxao Mole DeliCia A/S Kg,Acougue,26.62
121,Fraldinha Friboi Resf.Kg,Acougue,270.25
122,Fraldinha Grill do Chef Resf.Vacuo Kg,Acougue,49.02
123,Frango A Passarinho Big Fgo Resf.Bdj Kg,Acougue,64.97
124,Frango A Passarinho Big Fgo Resf.Kg,Acougue,13.45
125,Frango A Passarinho Big Fgo Temp.Resf.Kg,Acougue,7.21
126,Frango A Passarinho Copacol Resf.Kg,Acougue,62.57
127,Frango A Passarinho Copacol Temp.Resf.1k,Acougue,10.11
128,Frango Big Resf.Kg,Acougue,194.52
129,Frango Caipira Ivaipora Cortado Kg,Acougue,85.95
130,Frango Cong.Kg,Acougue,639.61
131,Frango Copacol Resf.Kg,Acougue,303.93
132,Frango Resfriado Maringa Kg,Acougue,526.63
133,Frango Sadia Assa Facil Temp.Cong.Kg,Acougue,66.09
134,Frango Seara Assa Facil Temp.Cong.Kg,Acougue,19.94
135,Galinha Fragnani Cong.Kg,Acougue,14.39
136,Galo do Sitio Cong.Kg,Acougue,37.27
137,Lingua Bovina Kg,Acougue,107.52
138,Linguica Alegra Pernil Cong.600g,Acougue,29.37
139,Linguica Alegra Pernil Resf.Kg,Acougue,119.40
140,Linguica Alegra Suina 600g C/Bacon,Acougue,11.68
141,Linguica Alegra Suina 600g C/Pimenta,Acougue,35.04
142,Linguica Alegra Suina 600g C/Queijo,Acougue,43.12
143,Linguica Alegra Suina Resf.Kg,Acougue,293.16
144,Linguica Alegra Toscana Resf.Kg,Acougue,41.20
145,Linguica Aurora Pernil Resf.Kg,Acougue,565.85
146,Linguica Bizinelli Fina Especial Kg,Acougue,354.08
147,Linguica Bizinelli Toscana Kg,Acougue,318.65
148,Linguica Copacol Churrasco Cong.1kg,Acougue,27.14
149,Linguica Copacol de Frango Cong.1kg,Acougue,150.18
150,Linguica Copacol de Frango Resf.1kg,Acougue,718.47
151,Linguica Fattoria Cheiro Verde Resf.Kg,Acougue,81.35
152,Linguica Fattoria Toscana Resf.Kg,Acougue,24.13
153,Linguica Frimesa Calab.Frescal Cong.1kg,Acougue,37.88
154,Linguica Frimesa Frango Fininha Cong.1kg,Acougue,73.55
155,Linguica Frimesa Pernil Suina Resf.1kg,Acougue,31.90
156,Linguica Frimesa Pernil Suina Resf.Kg,Acougue,42.57
157,Linguica Frimesa Pernil Suino Cong.1kg,Acougue,65.40
